================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 216665.30 μs
    Duration: 216665.30 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 34124.80           |
  | 1     | 34124.80           | 54407.08           |
  | 2     | 54407.08           | 74689.36           |
  | 3     | 74689.36           | 94971.63           |
  | 4     | 94971.63           | 115253.91          |
  | 5     | 115253.91          | 135536.19          |
  | 6     | 135536.19          | 155818.46          |
  | 7     | 155818.46          | 176100.74          |
  | 8     | 176100.74          | 196383.02          |
  | 9     | 196383.02          | 216665.30          |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+--------------------+-------------------------------+---------------------+--------------------+
  | Input | Compute (μs)       | Activation Communication (μs) | Weight Loading (μs) | Total (μs)         |
  +-------+--------------------+-------------------------------+---------------------+--------------------+
  | 0     | 15713.09           | 4569.19                       | 13842.53            | 34124.80           |
  | 1     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 2     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 3     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 4     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 5     | 15713.09           | 4569.19                       | 0.00                | 20282.28           |
  | 1     | 18    | 464.78               | 47.28                        |
  | 1     | 19    | 329.22               | 15.76                        |
  | 1     | 20    | 29.81                | -1                           |
  | 1     | 21    | 29.81                | 47.28                        |
  | 1     | 22    | 85.11                | 40.95                        |
  | 1     | 23    | 399.04               | 178.41                       |
  | 1     | 24    | 464.78               | 47.28                        |
  | 1     | 25    | 329.22               | 15.76                        |
  | 1     | 26    | 29.81                | -1                           |
  | 1     | 27    | 29.81                | 47.28                        |
  | 1     | 28    | 85.11                | 43.48                        |
  | 1     | 29    | 399.04               | 178.41                       |
  | 1     | 30    | 464.78               | 47.28                        |
  | 1     | 31    | 329.22               | 15.76                        |
  | 1     | 32    | 29.81                | -1                           |
  | 1     | 33    | 29.81                | 47.28                        |
  | 1     | 34    | 85.11                | 43.48                        |
  | 1     | 35    | 399.04               | 178.41                       |
  | 1     | 36    | 464.78               | 47.28                        |
  | 1     | 37    | 329.22               | 137.90                       |
  | 1     | 38    | 29.81                | 12.12                        |
  | 1     | 39    | 20.92                | 33.17                        |
  | 1     | 40    | 116.20               | 47.28                        |
  | 1     | 41    | 267.55               | 217.73                       |
  | 1     | 42    | 286.92               | 40.04                        |
  | 1     | 43    | 348.59               | -1                           |
  | 1     | 44    | 29.81                | -1                           |
  | 1     | 45    | 29.81                | 47.28                        |
  | 1     | 46    | 104.47               | 44.89                        |
  | 1     | 47    | 379.67               | 313.59                       |
  | 1     | 48    | 399.04               | 44.60                        |
  | 1     | 49    | 348.59               | -1                           |
  | 1     | 50    | 29.81                | -1                           |
  | 1     | 51    | 29.81                | 47.28                        |
  | 1     | 52    | 104.47               | 45.84                        |
  | 1     | 53    | 379.67               | 315.90                       |
  | 1     | 54    | 418.40               | 45.39                        |
  | 1     | 55    | 348.59               | -1                           |
  | 1     | 56    | 29.81                | -1                           |
  | 1     | 57    | 29.81                | 47.28                        |
  | 1     | 58    | 104.47               | 45.84                        |
  | 1     | 59    | 379.67               | 175.26                       |
  | 1     | 60    | 464.78               | 47.28                        |
  | 1     | 61    | 329.22               | 15.76                        |
  | 1     | 62    | 29.81                | -1                           |
  | 1     | 63    | 29.81                | 47.28                        |
  | 1     | 64    | 85.11                | 43.48                        |
  | 1     | 65    | 399.04               | 178.41                       |
  | 1     | 66    | 464.78               | 47.28                        |
  | 1     | 67    | 329.22               | 15.76                        |
  | 1     | 68    | 29.81                | -1                           |
  | 1     | 69    | 29.81                | 47.28                        |
  | 1     | 70    | 85.11                | 43.48                        |
  | 1     | 71    | 399.04               | 178.41                       |
  | 1     | 72    | 464.78               | 47.28                        |
  | 1     | 73    | 0.67                 | -1                           |
  | 2     | 0     | 115.61               | -1                           |
  | 2     | 1     | 348.59               | 141.84                       |
  | 2     | 2     | 29.81                | 12.12                        |
  | 2     | 3     | 26.80                | 4.76                         |
  | 2     | 4     | 116.20               | 47.28                        |
  | 2     | 5     | 263.48               | 156.35                       |
  | 2     | 6     | 464.78               | 47.28                        |
  | 2     | 7     | 329.22               | 15.76                        |
  | 2     | 8     | 29.81                | -1                           |
  | 2     | 9     | 29.81                | 47.28                        |
  | 2     | 10    | 85.11                | 43.48                        |
  | 2     | 11    | 399.04               | 324.73                       |
  | 2     | 12    | 418.40               | 45.39                        |
  | 2     | 13    | 348.59               | -1                           |
  | 2     | 14    | 29.81                | -1                           |
  | 2     | 15    | 29.81                | 47.28                        |
  | 2     | 16    | 104.47               | 45.84                        |
  | 2     | 17    | 379.67               | 175.26                       |
  | 2     | 18    | 464.78               | 47.28                        |
  | 2     | 19    | 329.22               | 15.76                        |
  | 2     | 20    | 29.81                | -1                           |
  | 2     | 21    | 29.81                | 47.28                        |
  | 2     | 22    | 85.11                | 40.95                        |
  | 2     | 23    | 399.04               | 178.41                       |
  | 2     | 24    | 464.78               | 47.28                        |
  | 2     | 25    | 329.22               | 15.76                        |
  | 2     | 26    | 29.81                | -1                           |
  | 2     | 27    | 29.81                | 47.28                        |
  | 2     | 28    | 85.11                | 43.48                        |
  | 2     | 29    | 399.04               | 178.41                       |
  | 2     | 30    | 464.78               | 47.28                        |
  | 2     | 31    | 329.22               | 15.76                        |
  | 2     | 32    | 29.81                | -1                           |
  | 2     | 33    | 29.81                | 47.28                        |
  | 2     | 34    | 85.11                | 43.48                        |
  | 2     | 35    | 399.04               | 178.41                       |
  | 2     | 36    | 464.78               | 47.28                        |
  | 2     | 37    | 329.22               | 137.90                       |
  | 2     | 38    | 29.81                | 12.12                        |
  | 2     | 39    | 20.92                | 33.17                        |
  | 2     | 40    | 116.20               | 47.28                        |
  | 2     | 41    | 267.55               | 217.73                       |
  | 2     | 42    | 286.92               | 40.04                        |
  | 2     | 43    | 348.59               | -1                           |
  | 2     | 44    | 29.81                | -1                           |
  | 2     | 45    | 29.81                | 47.28                        |
  | 2     | 46    | 104.47               | 44.89                        |
  | 2     | 47    | 379.67               | 313.59                       |
  | 2     | 48    | 399.04               | 44.60                        |
  | 2     | 49    | 348.59               | -1                           |
  | 2     | 50    | 29.81                | -1                           |
  | 2     | 51    | 29.81                | 47.28                        |
  | 2     | 52    | 104.47               | 45.84                        |
  | 2     | 53    | 379.67               | 315.90                       |
  | 2     | 54    | 418.40               | 45.39                        |
  | 2     | 55    | 348.59               | -1                           |
  | 2     | 56    | 29.81                | -1                           |
  | 2     | 57    | 29.81                | 47.28                        |
  | 2     | 58    | 104.47               | 45.84                        |
  | 2     | 59    | 379.67               | 175.26                       |
  | 2     | 60    | 464.78               | 47.28                        |
  | 2     | 61    | 329.22               | 15.76                        |
  | 2     | 62    | 29.81                | -1                           |
  | 2     | 63    | 29.81                | 47.28                        |
  | 2     | 64    | 85.11                | 43.48                        |
  | 2     | 65    | 399.04               | 178.41                       |
  | 2     | 66    | 464.78               | 47.28                        |
  | 2     | 67    | 329.22               | 15.76                        |
  | 2     | 68    | 29.81                | -1                           |
  | 2     | 69    | 29.81                | 47.28                        |
  | 2     | 70    | 85.11                | 43.48                        |
  | 2     | 71    | 399.04               | 178.41                       |
  | 2     | 72    | 464.78               | 47.28                        |
  | 2     | 73    | 0.67                 | -1                           |
  | 3     | 0     | 115.61               | -1                           |
  | 3     | 1     | 348.59               | 141.84                       |
  | 3     | 2     | 29.81                | 12.12                        |
  | 3     | 3     | 26.80                | 4.76                         |
  | 3     | 4     | 116.20               | 47.28                        |
  | 3     | 5     | 263.48               | 156.35                       |
  | 3     | 6     | 464.78               | 47.28                        |
  | 3     | 7     | 329.22               | 15.76                        |
  | 3     | 8     | 29.81                | -1                           |
  | 3     | 9     | 29.81                | 47.28                        |
  | 3     | 10    | 85.11                | 43.48                        |
  | 3     | 11    | 399.04               | 324.73                       |
  | 3     | 12    | 418.40               | 45.39                        |
  | 3     | 13    | 348.59               | -1                           |
  | 3     | 14    | 29.81                | -1                           |
  | 3     | 15    | 29.81                | 47.28                        |
  | 3     | 16    | 104.47               | 45.84                        |
  | 3     | 17    | 379.67               | 175.26                       |
  | 3     | 18    | 464.78               | 47.28                        |
  | 3     | 19    | 329.22               | 15.76                        |
  | 3     | 20    | 29.81                | -1                           |
  | 3     | 21    | 29.81                | 47.28                        |
  | 3     | 22    | 85.11                | 40.95                        |
  | 3     | 23    | 399.04               | 178.41                       |
  | 3     | 24    | 464.78               | 47.28                        |
  | 3     | 25    | 329.22               | 15.76                        |
  | 3     | 26    | 29.81                | -1                           |
  | 3     | 27    | 29.81                | 47.28                        |
  | 3     | 28    | 85.11                | 43.48                        |
  | 3     | 29    | 399.04               | 178.41                       |
  | 3     | 30    | 464.78               | 47.28                        |
  | 3     | 31    | 329.22               | 15.76                        |
  | 3     | 32    | 29.81                | -1                           |
  | 3     | 33    | 29.81                | 47.28                        |
  | 3     | 34    | 85.11                | 43.48                        |
  | 3     | 35    | 399.04               | 178.41                       |
  | 3     | 36    | 464.78               | 47.28                        |
  | 3     | 37    | 329.22               | 137.90                       |
  | 3     | 38    | 29.81                | 12.12                        |
  | 3     | 39    | 20.92                | 33.17                        |
  | 3     | 40    | 116.20               | 47.28                        |
  | 3     | 41    | 267.55               | 217.73                       |
  | 3     | 42    | 286.92               | 40.04                        |
  | 3     | 43    | 348.59               | -1                           |
  | 3     | 44    | 29.81                | -1                           |
  | 3     | 45    | 29.81                | 47.28                        |
  | 3     | 46    | 104.47               | 44.89                        |
  | 3     | 47    | 379.67               | 313.59                       |
  | 3     | 48    | 399.04               | 44.60                        |
  | 3     | 49    | 348.59               | -1                           |
  | 3     | 50    | 29.81                | -1                           |
  | 3     | 51    | 29.81                | 47.28                        |
  | 3     | 52    | 104.47               | 45.84                        |
  | 3     | 53    | 379.67               | 315.90                       |
  | 3     | 54    | 418.40               | 45.39                        |
  | 3     | 55    | 348.59               | -1                           |
  | 3     | 56    | 29.81                | -1                           |
  | 3     | 57    | 29.81                | 47.28                        |
  | 3     | 58    | 104.47               | 45.84                        |
  | 3     | 59    | 379.67               | 175.26                       |
  | 3     | 60    | 464.78               | 47.28                        |
  | 3     | 61    | 329.22               | 15.76                        |
  | 3     | 62    | 29.81                | -1                           |
  | 3     | 63    | 29.81                | 47.28                        |
  | 3     | 64    | 85.11                | 43.48                        |
  | 3     | 65    | 399.04               | 178.41                       |
  | 3     | 66    | 464.78               | 47.28                        |
  | 3     | 67    | 329.22               | 15.76                        |
  | 3     | 68    | 29.81                | -1                           |
  | 3     | 69    | 29.81                | 47.28                        |
  | 3     | 70    | 85.11                | 43.48                        |
  | 3     | 71    | 399.04               | 178.41                       |
  | 3     | 72    | 464.78               | 47.28                        |
  | 3     | 73    | 0.67                 | -1                           |
  | 4     | 0     | 115.61               | -1                           |
  | 4     | 1     | 348.59               | 141.84                       |
  | 4     | 2     | 29.81                | 12.12                        |
  | 4     | 3     | 26.80                | 4.76                         |
  | 4     | 4     | 116.20               | 47.28                        |
  | 4     | 5     | 263.48               | 156.35                       |
  | 4     | 6     | 464.78               | 47.28                        |
  | 4     | 7     | 329.22               | 15.76                        |
  | 4     | 8     | 29.81                | -1                           |
  | 4     | 9     | 29.81                | 47.28                        |
  | 4     | 10    | 85.11                | 43.48                        |
  | 4     | 11    | 399.04               | 324.73                       |
  | 4     | 12    | 418.40               | 45.39                        |
  | 4     | 13    | 348.59               | -1                           |
  | 4     | 14    | 29.81                | -1                           |
  | 4     | 15    | 29.81                | 47.28                        |
  | 4     | 16    | 104.47               | 45.84                        |
  | 4     | 17    | 379.67               | 175.26                       |
  | 4     | 18    | 464.78               | 47.28                        |
  | 4     | 19    | 329.22               | 15.76                        |
  | 4     | 20    | 29.81                | -1                           |
  | 4     | 21    | 29.81                | 47.28                        |
  | 4     | 22    | 85.11                | 40.95                        |
  | 4     | 23    | 399.04               | 178.41                       |
  | 4     | 24    | 464.78               | 47.28                        |
  | 4     | 25    | 329.22               | 15.76                        |
  | 4     | 26    | 29.81                | -1                           |
  | 4     | 27    | 29.81                | 47.28                        |
  | 4     | 28    | 85.11                | 43.48                        |
  | 4     | 29    | 399.04               | 178.41                       |
  | 4     | 30    | 464.78               | 47.28                        |
  | 4     | 31    | 329.22               | 15.76                        |
  | 4     | 32    | 29.81                | -1                           |
  | 4     | 33    | 29.81                | 47.28                        |
  | 4     | 34    | 85.11                | 43.48                        |
  | 4     | 35    | 399.04               | 178.41                       |
  | 4     | 36    | 464.78               | 47.28                        |
  | 4     | 37    | 329.22               | 137.90                       |
  | 4     | 38    | 29.81                | 12.12                        |
  | 4     | 39    | 20.92                | 33.17                        |
  | 4     | 40    | 116.20               | 47.28                        |
  | 4     | 41    | 267.55               | 217.73                       |
  | 4     | 42    | 286.92               | 40.04                        |
  | 4     | 43    | 348.59               | -1                           |
  | 4     | 44    | 29.81                | -1                           |
  | 4     | 45    | 29.81                | 47.28                        |
  | 4     | 46    | 104.47               | 44.89                        |
  | 4     | 47    | 379.67               | 313.59                       |
  | 4     | 48    | 399.04               | 44.60                        |
  | 4     | 49    | 348.59               | -1                           |
  | 4     | 50    | 29.81                | -1                           |
  | 4     | 51    | 29.81                | 47.28                        |
  | 4     | 52    | 104.47               | 45.84                        |
  | 4     | 53    | 379.67               | 315.90                       |
  | 4     | 54    | 418.40               | 45.39                        |
  | 4     | 55    | 348.59               | -1                           |
  | 4     | 56    | 29.81                | -1                           |
  | 4     | 57    | 29.81                | 47.28                        |
  | 4     | 58    | 104.47               | 45.84                        |
  | 4     | 59    | 379.67               | 175.26                       |
  | 4     | 60    | 464.78               | 47.28                        |
  | 4     | 61    | 329.22               | 15.76                        |
  | 4     | 62    | 29.81                | -1                           |
  | 4     | 63    | 29.81                | 47.28                        |
  | 4     | 64    | 85.11                | 43.48                        |
  | 4     | 65    | 399.04               | 178.41                       |
  | 4     | 66    | 464.78               | 47.28                        |
  | 4     | 67    | 329.22               | 15.76                        |
  | 4     | 68    | 29.81                | -1                           |
  | 4     | 69    | 29.81                | 47.28                        |
  | 4     | 70    | 85.11                | 43.48                        |
  | 4     | 71    | 399.04               | 178.41                       |
  | 4     | 72    | 464.78               | 47.28                        |
  | 4     | 73    | 0.67                 | -1                           |
  | 5     | 0     | 115.61               | -1                           |
  | 5     | 1     | 348.59               | 141.84                       |
  | 5     | 2     | 29.81                | 12.12                        |
  | 5     | 3     | 26.80                | 4.76                         |
  | 5     | 4     | 116.20               | 47.28                        |
  | 5     | 5     | 263.48               | 156.35                       |
  | 5     | 6     | 464.78               | 47.28                        |
  | 5     | 7     | 329.22               | 15.76                        |
  | 5     | 8     | 29.81                | -1                           |
  | 5     | 9     | 29.81                | 47.28                        |
  | 5     | 10    | 85.11                | 43.48                        |
  | 5     | 11    | 399.04               | 324.73                       |
  | 5     | 12    | 418.40               | 45.39                        |
  | 5     | 13    | 348.59               | -1                           |
  | 5     | 14    | 29.81                | -1                           |
  | 5     | 15    | 29.81                | 47.28                        |
  | 5     | 16    | 104.47               | 45.84                        |
  | 5     | 17    | 379.67               | 175.26                       |
  | 5     | 18    | 464.78               | 47.28                        |
  | 5     | 19    | 329.22               | 15.76                        |
  | 5     | 20    | 29.81                | -1                           |
  | 5     | 21    | 29.81                | 47.28                        |
  | 5     | 22    | 85.11                | 40.95                        |
  | 5     | 23    | 399.04               | 178.41                       |
  | 5     | 24    | 464.78               | 47.28                        |
  | 5     | 25    | 329.22               | 15.76                        |
  | 5     | 26    | 29.81                | -1                           |
  | 5     | 27    | 29.81                | 47.28                        |
  | 5     | 28    | 85.11                | 43.48                        |
  | 5     | 29    | 399.04               | 178.41                       |
  | 5     | 30    | 464.78               | 47.28                        |
  | 5     | 31    | 329.22               | 15.76                        |
  | 5     | 32    | 29.81                | -1                           |
  | 5     | 33    | 29.81                | 47.28                        |
  | 5     | 34    | 85.11                | 43.48                        |
  | 5     | 35    | 399.04               | 178.41                       |
  | 5     | 36    | 464.78               | 47.28                        |
  | 5     | 37    | 329.22               | 137.90                       |
  | 5     | 38    | 29.81                | 12.12                        |
  | 5     | 39    | 20.92                | 33.17                        |
  | 5     | 40    | 116.20               | 47.28                        |
  | 5     | 41    | 267.55               | 217.73                       |
  | 5     | 42    | 286.92               | 40.04                        |
  | 5     | 43    | 348.59               | -1                           |
  | 5     | 44    | 29.81                | -1                           |
  | 5     | 45    | 29.81                | 47.28                        |
  | 5     | 46    | 104.47               | 44.89                        |
  | 5     | 47    | 379.67               | 313.59                       |
  | 5     | 48    | 399.04               | 44.60                        |
  | 5     | 49    | 348.59               | -1                           |
  | 5     | 50    | 29.81                | -1                           |
  | 5     | 51    | 29.81                | 47.28                        |
  | 5     | 52    | 104.47               | 45.84                        |
  | 5     | 53    | 379.67               | 315.90                       |
  | 5     | 54    | 418.40               | 45.39                        |
  | 5     | 55    | 348.59               | -1                           |
  | 5     | 56    | 29.81                | -1                           |
  | 5     | 57    | 29.81                | 47.28                        |
  | 5     | 58    | 104.47               | 45.84                        |
  | 5     | 59    | 379.67               | 175.26                       |
  | 5     | 60    | 464.78               | 47.28                        |
  | 5     | 61    | 329.22               | 15.76                        |
  | 5     | 62    | 29.81                | -1                           |
  | 5     | 63    | 29.81                | 47.28                        |
  | 5     | 64    | 85.11                | 43.48                        |
  | 5     | 65    | 399.04               | 178.41                       |
  | 5     | 66    | 464.78               | 47.28                        |
  | 5     | 67    | 329.22               | 15.76                        |
  | 5     | 68    | 29.81                | -1                           |
  | 5     | 69    | 29.81                | 47.28                        |
  | 5     | 70    | 85.11                | 43.48                        |
  | 5     | 71    | 399.04               | 178.41                       |
  | 5     | 72    | 464.78               | 47.28                        |
  | 5     | 73    | 0.67                 | -1                           |
  | 6     | 0     | 115.61               | -1                           |
  | 6     | 1     | 348.59               | 141.84                       |
  | 6     | 2     | 29.81                | 12.12                        |
  | 6     | 3     | 26.80                | 4.76                         |
  | 6     | 4     | 116.20               | 47.28                        |
  | 6     | 5     | 263.48               | 156.35                       |
  | 6     | 6     | 464.78               | 47.28                        |
  | 6     | 7     | 329.22               | 15.76                        |
  | 6     | 8     | 29.81                | -1                           |
  | 6     | 9     | 29.81                | 47.28                        |
  | 6     | 10    | 85.11                | 43.48                        |
  | 6     | 11    | 399.04               | 324.73                       |
  | 6     | 12    | 418.40               | 45.39                        |
  | 6     | 13    | 348.59               | -1                           |
  | 6     | 14    | 29.81                | -1                           |
  | 6     | 15    | 29.81                | 47.28                        |
  | 6     | 16    | 104.47               | 45.84                        |
  | 6     | 17    | 379.67               | 175.26                       |
  | 6     | 18    | 464.78               | 47.28                        |
  | 6     | 19    | 329.22               | 15.76                        |
  | 6     | 20    | 29.81                | -1                           |
  | 6     | 21    | 29.81                | 47.28                        |
  | 6     | 22    | 85.11                | 40.95                        |
  | 6     | 23    | 399.04               | 178.41                       |
  | 6     | 24    | 464.78               | 47.28                        |
  | 6     | 25    | 329.22               | 15.76                        |
  | 6     | 26    | 29.81                | -1                           |
  | 6     | 27    | 29.81                | 47.28                        |
  | 6     | 28    | 85.11                | 43.48                        |
  | 6     | 29    | 399.04               | 178.41                       |
  | 6     | 30    | 464.78               | 47.28                        |
  | 6     | 31    | 329.22               | 15.76                        |
  | 6     | 32    | 29.81                | -1                           |
  | 6     | 33    | 29.81                | 47.28                        |
  | 6     | 34    | 85.11                | 43.48                        |
  | 6     | 35    | 399.04               | 178.41                       |
  | 6     | 36    | 464.78               | 47.28                        |
  | 6     | 37    | 329.22               | 137.90                       |
  | 6     | 38    | 29.81                | 12.12                        |
  | 6     | 39    | 20.92                | 33.17                        |
  | 6     | 40    | 116.20               | 47.28                        |
  | 6     | 41    | 267.55               | 217.73                       |
  | 6     | 42    | 286.92               | 40.04                        |
  | 6     | 43    | 348.59               | -1                           |
  | 6     | 44    | 29.81                | -1                           |
  | 6     | 45    | 29.81                | 47.28                        |
  | 6     | 46    | 104.47               | 44.89                        |
  | 6     | 47    | 379.67               | 313.59                       |
  | 6     | 48    | 399.04               | 44.60                        |
  | 6     | 49    | 348.59               | -1                           |
  | 6     | 50    | 29.81                | -1                           |
  | 6     | 51    | 29.81                | 47.28                        |
  | 6     | 52    | 104.47               | 45.84                        |
  | 6     | 53    | 379.67               | 315.90                       |
  | 6     | 54    | 418.40               | 45.39                        |
  | 6     | 55    | 348.59               | -1                           |
  | 6     | 56    | 29.81                | -1                           |
  | 6     | 57    | 29.81                | 47.28                        |
  | 6     | 58    | 104.47               | 45.84                        |
  | 6     | 59    | 379.67               | 175.26                       |
  | 6     | 60    | 464.78               | 47.28                        |
  | 6     | 61    | 329.22               | 15.76                        |
  | 6     | 62    | 29.81                | -1                           |
  | 6     | 63    | 29.81                | 47.28                        |
  | 6     | 64    | 85.11                | 43.48                        |
  | 6     | 65    | 399.04               | 178.41                       |
  | 6     | 66    | 464.78               | 47.28                        |
  | 6     | 67    | 329.22               | 15.76                        |
  | 6     | 68    | 29.81                | -1                           |
  | 6     | 69    | 29.81                | 47.28                        |
  | 6     | 70    | 85.11                | 43.48                        |
  | 6     | 71    | 399.04               | 178.41                       |
  | 6     | 72    | 464.78               | 47.28                        |
  | 6     | 73    | 0.67                 | -1                           |
