================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.92 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.17 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 59.28 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 59.29 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+---------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)     |
  | 11         | 36864.01                       | 100.00             |
  | 12         | 36864.01                       | 100.00             |
  | 13         | 18432.00                       | 52.64              |
  | 14         | 18432.00                       | 52.64              |
  | 15         | 18432.00                       | 52.64              |
  | 16         | 18432.00                       | 52.64              |
  | 17         | 18432.00                       | 52.64              |
  | 18         | 18432.00                       | 52.64              |
  | 19         | 18432.00                       | 52.64              |
  | 20         | 18432.00                       | 52.64              |
  | 21         | 36864.01                       | 100.00             |
  | 22         | 36864.01                       | 100.00             |
  | 23         | 36864.01                       | 100.00             |
  | 24         | 18432.00                       | 52.64              |
  | 25         | 18432.00                       | 52.64              |
  | 26         | 18432.00                       | 52.64              |
  | 27         | 18432.00                       | 52.64              |
  | 28         | 18432.00                       | 52.64              |
  | 29         | 18432.00                       | 52.64              |
  | 30         | 18432.00                       | 52.64              |
  | 31         | 18432.00                       | 52.64              |
  | 32         | 18432.00                       | 52.64              |
  | 33         | 18432.00                       | 52.64              |
  | 34         | 18432.00                       | 52.64              |
  | 35         | 18432.00                       | 52.64              |
  | 36         | 18432.00                       | 52.64              |
  | 37         | 18432.00                       | 52.64              |
  | 38         | 18432.00                       | 52.64              |
  | 39         | 18432.00                       | 52.64              |
  | 41         | 18432.00                       | 52.64              |
  | 42         | 18432.00                       | 52.64              |
  | 43         | 18432.00                       | 52.64              |
  | 44         | 18432.00                       | 52.64              |
  | 45         | 18432.00                       | 52.64              |
  | 46         | 18432.00                       | 52.64              |
  | 47         | 18432.00                       | 52.64              |
  | 48         | 18432.00                       | 52.64              |
  | 51         | 18432.00                       | 52.64              |
  | 52         | 18432.00                       | 52.64              |
  | 53         | 18432.00                       | 52.64              |
  | 54         | 18432.00                       | 52.64              |
  | 55         | 18432.00                       | 52.64              |
  | 56         | 36864.01                       | 100.00             |
  | 62         | 18432.00                       | 52.64              |
  | 63         | 18432.00                       | 52.64              |
  | 64         | 18432.00                       | 52.64              |
  | 65         | 18432.00                       | 52.64              |
  | 73         | 18432.00                       | 52.64              |
  | 74         | 18432.00                       | 52.64              |
  +------------+--------------------------------+--------------------+

Total Combined Utilization (Method 1):
--------------------------------------------------
  Combined Busy Time Based Utilization (Per Chiplet) - Compute + Activation Communication + Weight Loading:

  +------------+-------------------------------+--------------------+
  | Chiplet ID | Total Combined Busy Time (μs) | Utilization (%)    |
  +------------+-------------------------------+--------------------+
  | 2          | 157715.12                     | 100.00             |
  | 3          | 37541.41                      | 100.00             |
  | 4          | 18436.34                      | 52.65              |
  | 5          | 18436.34                      | 52.65              |
  | 6          | 18436.34                      | 52.65              |
  | 7          | 18436.34                      | 52.65              |
  | 8          | 18435.52                      | 52.65              |
  | 9          | 18435.52                      | 52.65              |
  | 11         | 39214.43                      | 100.00             |
  | 12         | 40735.62                      | 100.00             |
  | 13         | 18436.34                      | 52.65              |
  | 14         | 18436.34                      | 52.65              |
  | 15         | 18436.34                      | 52.65              |
  | 16         | 18436.34                      | 52.65              |
  | 17         | 18436.34                      | 52.65              |
  | 18         | 18436.34                      | 52.65              |
  | 19         | 18435.52                      | 52.65              |
  | 20         | 18435.52                      | 52.65              |
  | 21         | 37752.75                      | 100.00             |
  | 22         | 38851.65                      | 100.00             |
  | 23         | 38421.18                      | 100.00             |
  | 24         | 18436.34                      | 52.65              |
  | 25         | 18436.34                      | 52.65              |
  | 26         | 18436.34                      | 52.65              |
  | 27         | 18436.34                      | 52.65              |
  | 28         | 18436.34                      | 52.65              |
  | 29         | 18436.34                      | 52.65              |
  | 30         | 18435.52                      | 52.65              |
  | 31         | 18436.34                      | 52.65              |
  | 32         | 18436.34                      | 52.65              |
  | 33         | 18436.34                      | 52.65              |
  | 34         | 18436.34                      | 52.65              |
  | 35         | 18436.34                      | 52.65              |
  | 36         | 18436.34                      | 52.65              |
  | 37         | 18436.34                      | 52.65              |
  | 38         | 18436.34                      | 52.65              |
  | 39         | 18434.46                      | 52.64              |
  | 41         | 18436.34                      | 52.65              |
  | 42         | 18436.34                      | 52.65              |
  | 43         | 18436.34                      | 52.65              |
  | 44         | 18436.34                      | 52.65              |
  | 45         | 18436.34                      | 52.65              |
  | 46         | 18436.34                      | 52.65              |
  | 47         | 18436.34                      | 52.65              |
  | 48         | 18434.46                      | 52.64              |
  | 51         | 18436.34                      | 52.65              |
  | 52         | 18436.34                      | 52.65              |
