================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.04 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.29 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 91.27 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 91.29 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+----------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)      |
  | 38         | 18404.96                      | 89.87             |
  | 39         | 18403.01                      | 89.86             |
  | 41         | 18404.96                      | 89.87             |
  | 42         | 18404.96                      | 89.87             |
  | 43         | 18404.96                      | 89.87             |
  | 44         | 18404.96                      | 89.87             |
  | 45         | 18404.96                      | 89.87             |
  | 46         | 18404.96                      | 89.87             |
  | 47         | 18404.96                      | 89.87             |
  | 48         | 18403.01                      | 89.86             |
  | 51         | 18404.96                      | 89.87             |
  | 52         | 18404.96                      | 89.87             |
  | 53         | 18404.96                      | 89.87             |
  | 54         | 18404.96                      | 89.87             |
  | 55         | 18404.96                      | 89.87             |
  | 56         | 36809.01                      | 100.00            |
  | 62         | 18404.96                      | 89.87             |
  | 63         | 18404.96                      | 89.87             |
  | 64         | 18404.96                      | 89.87             |
  | 65         | 18404.05                      | 89.86             |
  | 73         | 18404.96                      | 89.87             |
  | 74         | 18404.05                      | 89.86             |
  +------------+-------------------------------+-------------------+
