================================================================================
System Utilization Metrics
================================================================================


System-Wide Metrics:
--------------------------------------------------
  Time Step Used for Analysis: 1.00 μs
  Mean Per-Chiplet Compute Time Utilization (Method 1): 0.82 %
  Mean Per-Chiplet Activation Communication Time Utilization (Method 1): 0.18 %
  Mean Per-Chiplet Weight Loading Time Utilization (Method 1): 62.78 %
  Mean Per-Chiplet Combined Time Utilization (Method 1): 62.80 %

Total Compute Utilization (Method 1):
--------------------------------------------------
  Compute Time Based Utilization (Per Chiplet):

  +------------+-------------------------+----------------------+
  | Chiplet ID | Total Compute Time (μs) | Utilization (%)      |
  | 37         | 2.46                    | 0.01                 |
  | 38         | 2.46                    | 0.01                 |
  | 39         | 2.46                    | 0.01                 |
  | 41         | 2.46                    | 0.01                 |
  | 42         | 2.46                    | 0.01                 |
  | 43         | 2.46                    | 0.01                 |
  | 44         | 2.46                    | 0.01                 |
  | 45         | 2.46                    | 0.01                 |
  | 46         | 2.46                    | 0.01                 |
  | 47         | 2.46                    | 0.01                 |
  | 48         | 2.46                    | 0.01                 |
  | 51         | 2.46                    | 0.01                 |
  | 52         | 2.46                    | 0.01                 |
  | 53         | 2.46                    | 0.01                 |
  | 54         | 2.46                    | 0.01                 |
  | 55         | 2.46                    | 0.01                 |
  | 56         | 4.92                    | 0.02                 |
  | 62         | 2.46                    | 0.01                 |
  | 63         | 2.46                    | 0.01                 |
  | 64         | 2.46                    | 0.01                 |
  | 65         | 2.46                    | 0.01                 |
  | 73         | 2.46                    | 0.01                 |
  | 74         | 2.46                    | 0.01                 |
  +------------+-------------------------+----------------------+

Total Activation Communication Utilization (Method 1):
--------------------------------------------------
  Activation Communication Time Based Utilization (Per Chiplet):

  +------------+------------------------------------------+----------------------+
  | Chiplet ID | Total Activation Communication Time (μs) | Utilization (%)      |
  +------------+------------------------------------------+----------------------+
  | 2          | 356.90                                   | 1.10                 |
  | 3          | 107.91                                   | 0.33                 |
  | 4          | 1.88                                     | 0.01                 |
  | 5          | 1.88                                     | 0.01                 |
  | 6          | 1.88                                     | 0.01                 |
  | 7          | 1.88                                     | 0.01                 |
  | 8          | 1.06                                     | 0.00                 |
  | 9          | 1.06                                     | 0.00                 |
  | 11         | 153.92                                   | 0.47                 |
  | 12         | 249.31                                   | 0.77                 |
  | 13         | 1.88                                     | 0.01                 |
  | 14         | 1.88                                     | 0.01                 |
  | 15         | 1.88                                     | 0.01                 |
  | 16         | 1.88                                     | 0.01                 |
  | 17         | 1.88                                     | 0.01                 |
  | 18         | 1.88                                     | 0.01                 |
  | 19         | 1.06                                     | 0.00                 |
  | 20         | 1.06                                     | 0.00                 |
  | 21         | 60.23                                    | 0.19                 |
  | 22         | 1197.67                                  | 3.68                 |
  | 23         | 1169.37                                  | 3.60                 |
  | 24         | 1.88                                     | 0.01                 |
  | 25         | 1.88                                     | 0.01                 |
  | 26         | 1.88                                     | 0.01                 |
  | 27         | 1.88                                     | 0.01                 |
  | 28         | 1.88                                     | 0.01                 |
  | 29         | 1.88                                     | 0.01                 |
  | 30         | 1.06                                     | 0.00                 |
  | 31         | 1.88                                     | 0.01                 |
  | 32         | 1.88                                     | 0.01                 |
  | 33         | 1.88                                     | 0.01                 |
  | 34         | 1.88                                     | 0.01                 |
  | 35         | 1.88                                     | 0.01                 |
  | 36         | 1.88                                     | 0.01                 |
  | 37         | 1.88                                     | 0.01                 |
  | 38         | 1.88                                     | 0.01                 |
  | 39         | 0.00                                     | 0.00                 |
  | 41         | 1.88                                     | 0.01                 |
  | 42         | 1.88                                     | 0.01                 |
  | 43         | 1.88                                     | 0.01                 |
  | 44         | 1.88                                     | 0.01                 |
  | 45         | 1.88                                     | 0.01                 |
  | 46         | 1.88                                     | 0.01                 |
  | 47         | 1.88                                     | 0.01                 |
  | 48         | 0.00                                     | 0.00                 |
  | 51         | 1.88                                     | 0.01                 |
  | 52         | 1.88                                     | 0.01                 |
  | 53         | 1.88                                     | 0.01                 |
  | 54         | 1.88                                     | 0.01                 |
  | 55         | 1.88                                     | 0.01                 |
  | 56         | 2.94                                     | 0.01                 |
  | 62         | 1.88                                     | 0.01                 |
  | 63         | 1.88                                     | 0.01                 |
  | 64         | 1.88                                     | 0.01                 |
  | 65         | 1.06                                     | 0.00                 |
  | 73         | 1.88                                     | 0.01                 |
  | 74         | 1.06                                     | 0.00                 |
  +------------+------------------------------------------+----------------------+

Total Weight Loading Utilization (Method 1):
--------------------------------------------------
  Weight Loading Time Based Utilization (Per Chiplet):

  +------------+--------------------------------+-------------------+
  | Chiplet ID | Total Weight Loading Time (μs) | Utilization (%)   |
  +------------+--------------------------------+-------------------+
  | 2          | 147450.11                      | 100.00            |
  | 3          | 36862.53                       | 100.00            |
  | 4          | 18431.26                       | 56.71             |
  | 5          | 18431.26                       | 56.71             |
  | 6          | 18431.26                       | 56.71             |
  | 7          | 18431.26                       | 56.71             |
  | 8          | 18431.26                       | 56.71             |
  | 9          | 18431.26                       | 56.71             |
  | 11         | 36862.53                       | 100.00            |
  | 12         | 36862.53                       | 100.00            |
  | 13         | 18431.26                       | 56.71             |
  | 14         | 18431.26                       | 56.71             |
  | 15         | 18431.26                       | 56.71             |
  | 16         | 18431.26                       | 56.71             |
  | 17         | 18431.26                       | 56.71             |
  | 18         | 18431.26                       | 56.71             |
  | 19         | 18431.26                       | 56.71             |
  | 20         | 18431.26                       | 56.71             |
  | 21         | 36862.53                       | 100.00            |
  | 22         | 36862.53                       | 100.00            |
  | 23         | 36862.53                       | 100.00            |
  | 24         | 18431.26                       | 56.71             |
  | 25         | 18431.26                       | 56.71             |
  | 26         | 18431.26                       | 56.71             |
  | 27         | 18431.26                       | 56.71             |
  | 28         | 18431.26                       | 56.71             |
  | 29         | 18431.26                       | 56.71             |
  | 30         | 18431.26                       | 56.71             |
  | 31         | 18431.26                       | 56.71             |
  | 32         | 18431.26                       | 56.71             |
  | 33         | 18431.26                       | 56.71             |
  | 34         | 18431.26                       | 56.71             |
  | 35         | 18431.26                       | 56.71             |
  | 36         | 18431.26                       | 56.71             |
  | 37         | 18431.26                       | 56.71             |
  | 38         | 18431.26                       | 56.71             |
  | 39         | 18431.26                       | 56.71             |
  | 41         | 18431.26                       | 56.71             |
  | 42         | 18431.26                       | 56.71             |
  | 43         | 18431.26                       | 56.71             |
  | 44         | 18431.26                       | 56.71             |
  | 45         | 18431.26                       | 56.71             |
  | 46         | 18431.26                       | 56.71             |
  | 47         | 18431.26                       | 56.71             |
  | 48         | 18431.26                       | 56.71             |
  | 51         | 18431.26                       | 56.71             |
  | 52         | 18431.26                       | 56.71             |
  | 53         | 18431.26                       | 56.71             |
  | 54         | 18431.26                       | 56.71             |
  | 55         | 18431.26                       | 56.71             |
  | 56         | 36862.53                       | 100.00            |
  | 62         | 18431.26                       | 56.71             |
  | 63         | 18431.26                       | 56.71             |
  | 64         | 18431.26                       | 56.71             |
  | 65         | 18431.26                       | 56.71             |
  | 73         | 18431.26                       | 56.71             |
  | 74         | 18431.26                       | 56.71             |
  +------------+--------------------------------+-------------------+

Total Combined Utilization (Method 1):
--------------------------------------------------
  Combined Busy Time Based Utilization (Per Chiplet) - Compute + Activation Communication + Weight Loading:

  +------------+-------------------------------+--------------------+
  | Chiplet ID | Total Combined Busy Time (μs) | Utilization (%)    |
  +------------+-------------------------------+--------------------+
  | 2          | 157709.20                     | 100.00             |
  | 3          | 37539.93                      | 100.00             |
  | 4          | 18435.60                      | 56.72              |
  | 5          | 18435.60                      | 56.72              |
  | 6          | 18435.60                      | 56.72              |
  | 7          | 18435.60                      | 56.72              |
  | 8          | 18434.78                      | 56.72              |
  | 9          | 18434.78                      | 56.72              |
  | 11         | 38827.60                      | 100.00             |
  | 12         | 38913.69                      | 100.00             |
  | 13         | 18435.60                      | 56.72              |
  | 14         | 18435.60                      | 56.72              |
  | 15         | 18435.60                      | 56.72              |
  | 16         | 18435.60                      | 56.72              |
  | 17         | 18435.60                      | 56.72              |
  | 18         | 18435.60                      | 56.72              |
  | 19         | 18434.78                      | 56.72              |
  | 20         | 18434.78                      | 56.72              |
  | 21         | 37365.92                      | 100.00             |
  | 22         | 38541.88                      | 100.00             |
  | 23         | 38111.42                      | 100.00             |
  | 24         | 18435.60                      | 56.72              |
  | 25         | 18435.60                      | 56.72              |
  | 26         | 18435.60                      | 56.72              |
  | 27         | 18435.60                      | 56.72              |
  | 28         | 18435.60                      | 56.72              |
  | 29         | 18435.60                      | 56.72              |
  | 30         | 18434.78                      | 56.72              |
  | 31         | 18435.60                      | 56.72              |
  | 32         | 18435.60                      | 56.72              |
  | 33         | 18435.60                      | 56.72              |
  | 34         | 18435.60                      | 56.72              |
  | 35         | 18435.60                      | 56.72              |
  | 36         | 18435.60                      | 56.72              |
  | 37         | 18435.60                      | 56.72              |
  | 38         | 18435.60                      | 56.72              |
  | 39         | 18433.72                      | 56.72              |
  | 41         | 18435.60                      | 56.72              |
  | 42         | 18435.60                      | 56.72              |
  | 43         | 18435.60                      | 56.72              |
  | 44         | 18435.60                      | 56.72              |
